organism	chromosome	accession	gene_name	strand	gstart	gend
Homo sapiens	X	NT_079573	PQBP1	+	11606962	11612187
Homo sapiens	X	NT_079573	SLC35A2	-	11620700	11612226
Homo sapiens	X	NT_079573	PIM2	-	11628051	11622226
Homo sapiens	X	NT_079573	OTUD5	-	11666660	11631255
Homo sapiens	X	NT_079573	KCND1	-	11680018	11670406
Homo sapiens	X	NT_079573	GRIPAP1	-	11710442	11681901
Homo sapiens	X	NT_079573	TFE3	-	11754757	11738009
Homo sapiens	X	NT_079573	CCDC120	+	11770283	11781277
Homo sapiens	X	NT_079573	PRAF2	-	11785429	11782585
Homo sapiens	X	NT_079573	WDR45	-	11811826	11785859
Homo sapiens	X	NT_079573	GPKOW	-	11833846	11824112
Homo sapiens	X	NT_079573	FLJ21687	+	11874010	11878589
Homo sapiens	X	NT_079573	PLP2	+	11882040	11885205
Homo sapiens	X	NT_079573	LMO6	-	11896543	11885673
Homo sapiens	X	NT_079573	SYP	-	11910428	11898032
Homo sapiens	X	NT_079573	CACNA1F	-	11943600	11915290
Homo sapiens	X	NT_079573	LOC653364	-	11944727	11944143
Homo sapiens	X	NT_079573	CCDC22	+	11945708	11961164
Homo sapiens	X	NT_079573	FOXP3	-	11975055	11961177
Homo sapiens	X	NT_079573	PPP1R3F	+	11980084	11997844
Homo sapiens	X	NT_079573	GAGE10	+	12015106	12032332
Homo sapiens	X	NT_079573	LOC729396	+	12032283	12039633
Homo sapiens	X	NT_079573	GAGE12D	+	12041827	12049136
Homo sapiens	X	NT_079573	GAGE8	+	12051374	12058690
Homo sapiens	X	NT_079573	LOC729408	+	12060883	12068187
Homo sapiens	X	NT_079573	GAGE4	+	12070416	12077707
Homo sapiens	X	NT_079573	GAGE5	+	12070424	12077710
Homo sapiens	X	NT_079573	GAGE7B	+	12070444	12077710
Homo sapiens	X	NT_079573	GAGE7	+	12070445	12077707
Homo sapiens	X	NT_079573	GAGE2	+	12079938	12087248
Homo sapiens	X	NT_079573	LOC645037	+	12089442	12096764
Homo sapiens	X	NT_086939	LOC729422	+	3783	11147
Homo sapiens	X	NT_086939	LOC729428	+	13339	20703
Homo sapiens	X	NT_086939	LOC729431	+	22895	30255
Homo sapiens	X	NT_086939	GAGE6	+	32483	39811
Homo sapiens	X	NT_086939	GAGE12G	+	42006	49363
Homo sapiens	X	NT_086939	LOC729442	+	51555	58910
Homo sapiens	X	NT_086939	LOC729447	+	61102	68433
Homo sapiens	X	NT_086939	GAGE1	+	70694	77718
Homo sapiens	X	NT_086939	VDAC1LP	-	104970	104436
Homo sapiens	X	NT_086939	LOC139163	-	145281	136457
Homo sapiens	X	NT_086939	PAGE1	-	167366	159066
Homo sapiens	X	NT_086939	PAGE4	+	300703	305367
Homo sapiens	X	NT_086939	LOC158572	-	350518	349733
Homo sapiens	X	NT_086939	USP27X	+	351353	353026
Homo sapiens	X	NT_086939	CLCN5	+	540955	564320
Homo sapiens	X	NT_086939	LOC644059	+	627606	627818
Homo sapiens	X	NT_086939	AKAP4	-	672463	662210
Homo sapiens	X	NT_011726	LOC642980	-	14380	10315
Homo sapiens	X	NT_011726	CXorf40B	-	24654	18353
Homo sapiens	X	NT_011726	LOC643015	+	200549	202695
Homo sapiens	X	NT_011726	LOC389901	-	319091	305344
Homo sapiens	X	NT_011726	LOC728020	-	509805	447743
Homo sapiens	X	NT_011726	CXorf6	+	531658	600377
Homo sapiens	X	NT_011726	LOC728030	+	598169	599281
Homo sapiens	X	NT_011726	MTM1	+	655007	759552
Homo sapiens	X	NT_011726	MTMR1	+	779807	851513
Homo sapiens	X	NT_011726	CD99L2	-	985117	852747
Homo sapiens	X	NT_011726	HMGB3	+	1069701	1077186
Homo sapiens	X	NT_011726	LOC392557	+	1079912	1080502
Homo sapiens	X	NT_011726	GPR50	+	1263063	1267875
Homo sapiens	X	NT_011726	LOC286456	-	1314125	1312639
Homo sapiens	X	NT_011726	LOC203547	+	1483643	1495774
Homo sapiens	X	NT_011726	PASD1	+	1650030	1763145
Homo sapiens	X	NT_011726	PRRG3	+	1784715	1787949
Homo sapiens	X	NT_011726	FATE1	+	1802444	1809602
Homo sapiens	X	NT_011726	CNGA2	+	1821154	1831972
Homo sapiens	X	NT_011726	MAGEA4	+	1999297	2011578
Homo sapiens	X	NT_011726	GABRE	-	2061087	2039532
Homo sapiens	X	NT_011726	MAGEA5	-	2204380	2200462
Homo sapiens	X	NT_011726	MAGEA10	-	2224961	2220827
Homo sapiens	X	NT_011726	GABRA3	-	2537766	2254463
Homo sapiens	X	NT_011726	LOC402429	+	2537441	2567432
Homo sapiens	X	NT_011726	GABRQ	+	2724573	2739761
Homo sapiens	X	NT_011726	MAGEA6	+	2785181	2788750
Homo sapiens	X	NT_011726	CSAG3A	-	2800974	2794679
Homo sapiens	X	NT_011726	CSAG2	-	2795683	2794687
Homo sapiens	X	NT_011726	MAGEA12	-	2821108	2817229
Homo sapiens	X	NT_011726	CSAG1	+	2821164	2827454
Homo sapiens	X	NT_011726	MAGEA2	-	2840300	2836324
Homo sapiens	X	NT_011726	MAGEA2B	-	2838035	2836339
Homo sapiens	X	NT_011726	LOC728461	+	2845670	2846671
Homo sapiens	X	NT_011726	MAGEA3	-	2856176	2852588
Homo sapiens	X	NT_011726	psMAGEA	-	2875896	2870783
Homo sapiens	X	NT_011726	CETN2	-	2917237	2913807
Homo sapiens	X	NT_011726	NSDHL	+	2917447	2955843
Homo sapiens	X	NT_011726	ZNF185	+	3004601	3059952
Homo sapiens	X	NT_011726	PNMA5	-	3078694	3075307
Homo sapiens	X	NT_011726	PNMA3	+	3142810	3146758
Homo sapiens	X	NT_011726	PNMA6A	+	3158801	3161337
Homo sapiens	X	NT_011726	LOC728513	-	3163287	3162088
Homo sapiens	X	NT_011726	LOC728307	-	3214214	3208410
Homo sapiens	X	NT_011726	MAGEA1	-	3306557	3301996
Homo sapiens	X	NT_011726	LOC728317	+	3357552	3363734
Homo sapiens	X	NT_011726	LOC649201	-	3408065	3404870
Homo sapiens	X	NT_011726	ZNF275	+	3429340	3437529
Homo sapiens	X	NT_011726	LOC649238	-	3486299	3482838
Homo sapiens	X	NT_011726	LOC139735	+	3504045	3507560
Homo sapiens	X	NT_011726	TREX2	-	3532419	3530652
Homo sapiens	X	NT_011726	UIP1	-	3556563	3533598
Homo sapiens	X	NT_011726	LOC389904	+	3565267	3572742
Homo sapiens	X	NT_011726	BGN	+	3580885	3595478
Homo sapiens	X	NT_011726	LOC728349	+	3602982	3605017
Homo sapiens	X	NT_011726	ATP2B3	+	3622054	3668861
Homo sapiens	X	NT_011726	FAM58A	-	3685055	3673857
Homo sapiens	X	NT_011726	LOC340598	-	3691277	3690423
Homo sapiens	X	NT_011726	DUSP9	+	3728462	3737251
Homo sapiens	X	NT_011726	LOC347544	+	3748091	3748621
Homo sapiens	X	NT_011726	PNCK	-	3760254	3755697
Homo sapiens	X	NT_011726	LOC728385	+	3759440	3774274
Homo sapiens	X	NT_011726	SLC6A8	+	3773866	3782514
Homo sapiens	X	NT_011726	BCAP31	-	3810361	3786426
Homo sapiens	X	NT_011726	ABCD1	+	3810810	3830655
Homo sapiens	X	NT_011726	PLXNB3	+	3850185	3865269
Homo sapiens	X	NT_011726	STK23	+	3866984	3871661
Homo sapiens	X	NT_011726	IDH3G	-	3880441	3871695
Homo sapiens	X	NT_011726	SSR4	+	3880568	3884428
Homo sapiens	X	NT_011726	PDZD4	-	3916477	3888097
Homo sapiens	X	NT_011726	CYCSP45	+	3927180	3927497
Homo sapiens	X	NT_011726	L1CAM	-	3961785	3947861
Homo sapiens	X	NT_011726	LCA10	+	3966601	3974918
Homo sapiens	X	NT_011726	AVPR2	+	3990844	3993114
Homo sapiens	X	NT_011726	ARHGAP4	-	4012172	3993305
Homo sapiens	X	NT_011726	ARD1A	-	4020942	4015851
Homo sapiens	X	NT_011726	RENBP	-	4030706	4021197
Homo sapiens	X	NT_011726	HCFC1	-	4050651	4033482
Homo sapiens	X	NT_011726	LOC728390	+	4057152	4058961
Homo sapiens	X	NT_011726	CXorf12	+	4058715	4069114
Homo sapiens	X	NT_011726	IRAK1	-	4105816	4096431
Homo sapiens	X	NT_011726	MECP2	-	4183603	4107738
Homo sapiens	X	NT_011726	LOC728653	-	4183454	4180899
Homo sapiens	X	NT_011726	OPN1LW	+	4230214	4244985
Homo sapiens	X	NT_011726	LOC653363	-	4266108	4245158
Homo sapiens	X	NT_011726	OPN1MW	+	4268641	4282005
Homo sapiens	X	NT_011726	LOC728447	-	4303229	4282288
Homo sapiens	X	NT_011726	LOC728458	+	4305741	4319233
Homo sapiens	X	NT_011726	CXorf2	-	4343912	4319406
Homo sapiens	X	NT_011726	TKTL1	+	4344625	4379174
Homo sapiens	X	NT_011726	FLNA	-	4423403	4397439
Homo sapiens	X	NT_011726	LOC728490	-	4427553	4423563
Homo sapiens	X	NT_011726	EMD	+	4428261	4430355
Homo sapiens	X	NT_011726	RPL10	+	4447192	4451154
Homo sapiens	X	NT_011726	SNORA70	+	4449096	4449230
Homo sapiens	X	NT_011726	DNASE1L1	-	4460901	4450053
Homo sapiens	X	NT_011726	TAZ	+	4460351	4470539
Homo sapiens	X	NT_011726	ATP6AP1	+	4477452	4485336
Homo sapiens	X	NT_011726	LOC728515	-	4485975	4485372
Homo sapiens	X	NT_011726	GDI1	+	4485995	4492288
Homo sapiens	X	NT_011726	FAM50A	+	4492982	4499470
Homo sapiens	X	NT_011726	PLXNA3	+	4507097	4522459
Homo sapiens	X	NT_011726	LAGE3	-	4528070	4526588
Homo sapiens	X	NT_011726	UBL4A	-	4535406	4532530
Homo sapiens	X	NT_011726	SLC10A3	-	4539469	4536122
Homo sapiens	X	NT_011726	FAM3A	-	4564847	4554980
Homo sapiens	X	NT_011726	G6PD	-	4595943	4580080
Homo sapiens	X	NT_011726	IKBKG	+	4596536	4613735
Homo sapiens	X	NT_011726	LOC643894	+	4629663	4630735
Homo sapiens	X	NT_011726	LOC728749	+	4633892	4635549
Homo sapiens	X	NT_011726	CTAG1A	-	4667996	4666339
Homo sapiens	X	NT_011726	CTAG1B	-	4667994	4666339
Homo sapiens	X	NT_011726	LOC340600	-	4672506	4671071
Homo sapiens	X	NT_011726	deltaNEMO	-	4697025	4688140
Homo sapiens	X	NT_011726	CTAG2	-	4702316	4700725
Homo sapiens	X	NT_011726	OR3B1P	-	4708409	4707481
Homo sapiens	X	NT_011726	GAB3	-	4799806	4724004
Homo sapiens	X	NT_011726	DKC1	+	4811624	4826434
Homo sapiens	X	NT_011726	SNORA36A	+	4817277	4817408
Homo sapiens	X	NT_011726	SNORA56	+	4823747	4823875
Homo sapiens	X	NT_011726	MPP1	-	4854237	4827442
Homo sapiens	X	NT_011726	LOC728776	-	4866270	4865055
Homo sapiens	X	NT_011726	F8	-	5071472	4884540
Homo sapiens	X	NT_011726	H2AFB1	+	4933791	4934307
Homo sapiens	X	NT_011726	F8A1	+	4935109	4936810
Homo sapiens	X	NT_011726	LOC553820	-	4967961	4957573
Homo sapiens	X	NT_011726	FUNDC2	+	5075538	5105665
Homo sapiens	X	NT_011726	MTCP1	-	5120110	5110360
Homo sapiens	X	NT_011726	BRCC3	+	5120184	5171823
Homo sapiens	X	NT_011726	VBP1	+	5265024	5288572
Homo sapiens	X	NT_011726	RAB39B	-	5314326	5308000
Homo sapiens	X	NT_011726	CLIC2	-	5384460	5325974
Homo sapiens	X	NT_011726	PHF10P1	+	5341638	5343305
Homo sapiens	X	NT_011726	LOC553939	+	5398438	5401023
Homo sapiens	X	NT_011726	H2AFB2	+	5430910	5431257
Homo sapiens	X	NT_011726	F8A2	+	5432238	5433353
Homo sapiens	X	NT_011726	F8A3	-	5508735	5507620
Homo sapiens	X	NT_011726	H2AFB3	-	5510070	5509554
Homo sapiens	X	NT_011726	TMLHE	-	5663071	5540247
Homo sapiens	X	NT_011726	SPRY3	+	5817925	5832591
Homo sapiens	X	NT_011726	AMDP1	-	5879798	5878230
Homo sapiens	X	NT_011726	SYBL1	+	5931487	5993894
Homo sapiens	X	NT_011726	LOC644218	-	6036386	6035485
Homo sapiens	X	NT_011726	IL9R	+	6047720	6060956
Homo sapiens	X	NT_011726	LOC376475	+	6070439	6079248
Homo sapiens	X	NT_011726	LOC728890	-	6078322	6075800
Homo sapiens	X	NT_113962	LOC392563	+	18129	20016
Homo sapiens	X	NT_113962	LOC728668	+	27441	29904
Homo sapiens	X	NT_113962	LOC728687	+	37047	131537
Homo sapiens	X	NT_113962	LOC728146	+	68697	80064
Homo sapiens	X	NT_113963	LOC644431	+	13300	13893
Homo sapiens	X	NT_113963	LOC727733	+	14118	21907
Homo sapiens	X	NT_011638	CCNB3	+	3367	70740
Homo sapiens	X	NT_011638	DGKK	-	189564	87724
Homo sapiens	X	NT_011638	SHROOM4	-	532871	310474
Homo sapiens	X	NT_011638	LOC347376	+	624265	624693
Homo sapiens	X	NT_011638	BMP15	+	629611	635434
Homo sapiens	X	NT_011638	LOC644129	-	650555	637746
Homo sapiens	X	NT_011638	LOC648926	-	751268	749215
Homo sapiens	X	NT_011638	LOC648890	+	801353	809910
Homo sapiens	X	NT_011638	NUDT10	+	1050910	1056204
Homo sapiens	X	NT_011638	LOC340602	+	1125594	1127517
Homo sapiens	X	NT_011638	NUDT11	-	1215286	1208690
Homo sapiens	X	NT_011638	LOC347549	-	1337597	1336734
Homo sapiens	X	NT_011638	LOC441495	-	1401591	1399972
Homo sapiens	X	NT_011638	LOC389857	+	1429435	1431054
Homo sapiens	X	NT_011638	GSPT2	+	1462354	1464856
Homo sapiens	X	NT_011638	MAGED1	+	1521982	1621277
Homo sapiens	X	NT_011638	LOC644310	+	1642475	1642666
Homo sapiens	X	NT_011638	LOC401589	-	1773178	1769783
Homo sapiens	X	NT_011638	MAGED4	-	1788195	1780750
Homo sapiens	X	NT_011638	LOC728239	+	1903746	1911191
Homo sapiens	X	NT_011638	LOC644402	+	2045137	2045565
Homo sapiens	X	NT_011638	LOC728242	+	2087880	2094625
Homo sapiens	X	NT_011638	LOC644509	-	2204869	2203851
Homo sapiens	X	NT_011638	LOC728259	+	2214630	2219766
Homo sapiens	X	NT_011638	LOC728266	-	2236167	2231031
Homo sapiens	X	NT_011638	XAGE2	-	2362908	2356163
Homo sapiens	X	NT_113964	LOC644528	-	39420	35596
Homo sapiens	X	NT_113964	LOC338829	-	45878	42096
Homo sapiens	X	NT_113964	LOC644644	+	72613	75692
Homo sapiens	X	NT_113964	LOC728822	+	88498	98166
Homo sapiens	X	NT_113964	LOC644670	+	123945	147566
Homo sapiens	X	NT_113965	LOC728849	-	387389	176507
Homo sapiens	X	NT_113965	LOC644732	-	504887	454779
Homo sapiens	X	NT_113965	LOC728866	+	537393	583670
Homo sapiens	X	NT_113965	LOC644749	+	721470	723796
Homo sapiens	X	NT_113965	LOC728188	-	730759	729064
Homo sapiens	X	NT_113965	LOC644756	+	730871	759333
Homo sapiens	X	NT_113965	LOC728198	+	787131	797157
Homo sapiens	X	NT_113966	LOC728899	-	20024	16346
Homo sapiens	X	NT_113966	LOC653560	+	20948	36397
Homo sapiens	X	NT_011630	LOC727767	+	65855	70991
Homo sapiens	X	NT_011630	XAGE1	-	87381	82245
Homo sapiens	X	NT_011630	LOC727784	-	100275	95139
Homo sapiens	X	NT_011630	LOC644518	+	127274	138622
Homo sapiens	X	NT_011630	psiSSX4	+	181077	182576
Homo sapiens	X	NT_011630	psiSSX1	+	187737	195176
Homo sapiens	X	NT_011630	SSX8	+	206264	217084
Homo sapiens	X	NT_011630	SSX7	-	238036	227197
Homo sapiens	X	NT_011630	psiSSX5	+	255657	261716
Homo sapiens	X	NT_011630	SSX2	-	290335	280032
Homo sapiens	X	NT_011630	LOC727837	+	334295	373436
Homo sapiens	X	NT_011630	SPANX-N5	-	381227	379270
Homo sapiens	X	NT_011630	XAGE5	+	395314	401408
Homo sapiens	X	NT_011630	LOC286512	-	417035	415835
Homo sapiens	X	NT_011630	XAGE3	-	451185	445643
Homo sapiens	X	NT_011630	LOC727866	+	474720	491673
Homo sapiens	X	NT_011630	TMEM29	-	540262	530548
Homo sapiens	X	NT_011630	GPR173	+	632592	661329
Homo sapiens	X	NT_011630	TSPYL2	+	665648	671808
Homo sapiens	X	NT_011630	ACTGP10	-	727169	726261
Homo sapiens	X	NT_011630	SMCX	-	808690	775539
Homo sapiens	X	NT_011630	IQSEC2	-	864882	816144
Homo sapiens	X	NT_011630	SMC1A	-	1003704	955156
Homo sapiens	X	NT_011630	RIBC1	+	1003925	1012145
Homo sapiens	X	NT_011630	HADH2	-	1015409	1012292
Homo sapiens	X	NT_011630	HUWE1	-	1235137	1113837
Homo sapiens	X	NT_011630	LOC729002	+	1267291	1267854
Homo sapiens	X	NT_011630	PHF8	-	1624397	1517199
Homo sapiens	X	NT_011630	FAM120C	-	1763777	1652671
Homo sapiens	X	NT_011630	WNK3	-	1938524	1776941
Homo sapiens	X	NT_011630	TSR2	+	2020939	2025816
Homo sapiens	X	NT_011630	FGD1	-	2076685	2025973
Homo sapiens	X	NT_011630	GNL3L	+	2110730	2146059
Homo sapiens	X	NT_011630	LOC392473	+	2220287	2253157
Homo sapiens	X	NT_011630	ITIH5L	-	2378759	2329702
Homo sapiens	X	NT_011630	MAGED2	+	2388257	2396531
Homo sapiens	X	NT_011630	SNORA11	+	2394889	2395019
Homo sapiens	X	NT_011630	TRO	+	2501335	2511950
Homo sapiens	X	NT_011630	PFKFB1	-	2574596	2513676
Homo sapiens	X	NT_011630	APEX2	+	2580866	2588298
Homo sapiens	X	NT_011630	ALAS2	-	2611497	2589574
Homo sapiens	X	NT_011630	PAGE2B	+	2655590	2659422
Homo sapiens	X	NT_011630	PAGE2	+	2669583	2673346
Homo sapiens	X	NT_011630	FAM104B	-	2741695	2723621
Homo sapiens	X	NT_011630	PAGE5	+	2800877	2804627
Homo sapiens	X	NT_011630	PAGE3	-	2845365	2838934
Homo sapiens	X	NT_011630	MAGEH1	+	3032624	3034085
Homo sapiens	X	NT_011630	USP51	-	3069717	3067048
Homo sapiens	X	NT_011630	LOC644893	-	3102319	3101366
Homo sapiens	X	NT_011630	FOXR2	+	3203919	3205844
Homo sapiens	X	NT_011630	XAGE-4	-	3237533	3207270
Homo sapiens	X	NT_011630	RRAGB	+	3298265	3339293
Homo sapiens	X	NT_011630	LOC644924	+	3488673	3543001
Homo sapiens	X	NT_011630	KLF8	+	3812993	3865616
Homo sapiens	X	NT_011630	UBQLN2	+	4144158	4147463
Homo sapiens	X	NT_011630	LOC644969	-	4318096	4317761
Homo sapiens	X	NT_011630	SPIN3	-	4576028	4556889
Homo sapiens	X	NT_011630	SPIN-2	-	4702065	4700201
Homo sapiens	X	NT_011630	SPIN2	-	4718144	4716169
Homo sapiens	X	NT_011630	AMDD	+	4867225	5069712
Homo sapiens	X	NT_011630	ZXDB	+	5172355	5177996
Homo sapiens	X	NT_011630	NOD24	-	5260799	5257297
Homo sapiens	X	NT_011630	LOC392477	+	5346838	5347803
Homo sapiens	X	NT_011630	ZXDA	-	5491153	5488283
Homo sapiens	X	NT_011630	LOC645136	-	5514866	5514621
Homo sapiens	X	NT_011630	LOC392479	+	5515159	5566653
Homo sapiens	X	NT_011669	LOC653588	+	316766	317789
Homo sapiens	X	NT_011669	LOC645251	-	884257	836984
Homo sapiens	X	NT_011669	LOC139886	-	889199	885095
Homo sapiens	X	NT_011669	ARHGEF9	-	1292981	1172836
Homo sapiens	X	NT_011669	LOC652961	+	1304638	1305456
Homo sapiens	X	NT_011669	HNRPDP	+	1582112	1583147
Homo sapiens	X	NT_011669	FAM123B	-	1743612	1722986
Homo sapiens	X	NT_011669	ASB12	-	1763491	1762064
Homo sapiens	X	NT_011669	MTMR8	-	1933299	1805949
Homo sapiens	X	NT_011669	LOC392481	+	1970269	1972017
Homo sapiens	X	NT_011669	LOC442455	+	2118752	2162443
Homo sapiens	X	NT_011669	KIAA1166	-	2514324	2454249
Homo sapiens	X	NT_011669	LOC645381	+	2945951	2946553
Homo sapiens	X	NT_011669	LOC645388	+	3006930	3008315
Homo sapiens	X	NT_011669	ZC3H12B	+	3026694	3045755
Homo sapiens	X	NT_011669	LAS1L	-	3072655	3050454
Homo sapiens	X	NT_011669	FKSG43	-	3090289	3088490
Homo sapiens	X	NT_011669	MSN	+	3205499	3279781
Homo sapiens	X	NT_011669	NANOGP9	-	3311658	3310146
Homo sapiens	X	NT_011669	LOC645420	-	3495026	3494610
Homo sapiens	X	NT_011669	VSIG4	-	3577873	3559568
Homo sapiens	X	NT_011669	LOC392485	-	3594403	3593417
Homo sapiens	X	NT_011669	LOC645430	-	3614175	3612372
Homo sapiens	X	NT_011669	HEPH	+	3700651	3805219
Homo sapiens	X	NT_011669	GPR165P	+	3978567	3979278
Homo sapiens	X	NT_011669	LOC402408	+	4035629	4037254
Homo sapiens	X	NT_011669	EDA2R	-	4153861	4133467
Homo sapiens	X	NT_011669	AR	+	5081862	5262107
Homo sapiens	X	NT_011669	OPHN1	-	5971635	5580703
Homo sapiens	X	NT_011669	PGK1P1	-	5609676	5607907
Homo sapiens	X	NT_011669	YIPF6	+	6036874	6070289
Homo sapiens	X	NT_011669	STARD8	+	6185499	6263666
Homo sapiens	X	NT_011669	SERBP1P	+	6321204	6324262
Homo sapiens	X	NT_011669	EFNB1	+	6366819	6379991
Homo sapiens	X	NT_011669	PJA1	-	6703328	6698685
Homo sapiens	X	NT_011669	CYCSP43	-	7023483	7023172
Homo sapiens	X	NT_011669	TMEM28	+	7043066	7070339
Homo sapiens	X	NT_011669	EDA	+	7153899	7577310
Homo sapiens	X	NT_011669	PDZD11	-	7827860	7223939
Homo sapiens	X	NT_011669	DGAT2L4	-	7587776	7578380
Homo sapiens	X	NT_011669	OTUD6A	+	7600329	7602017
Homo sapiens	X	NT_011669	IGBP1	+	7671306	7704162
Homo sapiens	X	NT_011669	DGAT2L6	+	7715324	7743541
Homo sapiens	X	NT_011669	DGAT2L3	+	7772534	7778128
Homo sapiens	X	NT_011669	P2RY4	-	7797642	7796004
Homo sapiens	X	NT_011669	ARR3	+	7806190	7819678
Homo sapiens	X	NT_011669	RAB41	+	7820056	7822840
Homo sapiens	X	NT_011669	KIF4A	+	7827950	7968809
Homo sapiens	X	NT_011669	GDPD2	+	7960979	7971219
Homo sapiens	X	NT_011669	DLG3	+	7982807	8040521
Homo sapiens	X	NT_011669	TEX11	-	8446555	8066778
Homo sapiens	X	NT_011669	SLC7A3	-	8468918	8463417
Homo sapiens	X	NT_011669	LOC653658	+	8468731	8501131
Homo sapiens	X	NT_011669	LOC729380	-	8554518	8554366
Homo sapiens	X	NT_011669	SNX12	-	8606219	8598776
Homo sapiens	X	NT_011669	MLLT7	+	8634198	8641372
Homo sapiens	X	NT_011669	LOC158830	-	8644408	8641825
Homo sapiens	X	NT_011669	IL2RG	-	8649391	8645247
Homo sapiens	X	NT_011669	MED12	+	8656561	8680135
Homo sapiens	X	NT_011669	NLGN3	+	8682699	8709039
Homo sapiens	X	NT_011669	GJB1	+	8761064	8763032
Homo sapiens	X	NT_011669	ZMYM3	-	8792411	8777462
Homo sapiens	X	NT_011669	NONO	+	8821455	8839006
Homo sapiens	X	NT_011669	ITGB1BP2	+	8839616	8843192
Homo sapiens	X	NT_011669	LOC392489	+	8890256	8890829
Homo sapiens	X	NT_011669	TAF1	+	8904102	9002288
Homo sapiens	X	NT_011669	INGX	-	9030287	9029517
Homo sapiens	X	NT_011669	OGT	+	9070921	9113728
Homo sapiens	X	NT_011669	LOC729413	-	9117219	9116232
Homo sapiens	X	NT_011669	ACRC	+	9116249	9151421
Homo sapiens	X	NT_011669	CXCR3	-	9156355	9153754
Homo sapiens	X	NT_011669	RPS26L1	+	9582247	9582812
Homo sapiens	X	NT_011669	RGAG4	-	9669739	9664951
Homo sapiens	X	NT_011669	LOC340527	+	9671487	9679200
Homo sapiens	X	NT_011669	LOC645914	+	9679628	9681412
Homo sapiens	X	NT_011669	FLJ44635	+	9682022	9699587
Homo sapiens	X	NT_011669	PIN4	+	9719514	9735929
Homo sapiens	X	NT_011669	FLJ20105	-	9776846	9742495
Homo sapiens	X	NT_011669	RPS4X	-	9815129	9810441
Homo sapiens	X	NT_011669	CITED1	-	9844778	9839488
Homo sapiens	X	NT_011669	HDAC8	-	10110641	9867354
Homo sapiens	X	NT_011669	PHKA1	-	10251875	10118466
Homo sapiens	X	NT_011669	LOC645938	-	10266634	10265790
Homo sapiens	X	NT_011669	LOC729488	+	10311868	10316907
Homo sapiens	X	NT_011669	LOC728656	+	10314821	10386624
Homo sapiens	X	NT_011669	LOC653687	+	10315449	10315748
Homo sapiens	X	NT_011669	DMRTC1	-	10415686	10409851
Homo sapiens	X	NT_011669	CXorf50	-	10481505	10479556
Homo sapiens	X	NT_011669	LOC645974	+	10538861	10543539
Homo sapiens	X	NT_011669	LOC340529	-	10617339	10615103
Homo sapiens	X	NT_011669	NAP1L6	-	10665907	10663864
Homo sapiens	X	NT_011669	NAP1L2	-	10752672	10750142
Homo sapiens	X	NT_011669	LOC646016	+	10763114	10813343
Homo sapiens	X	NT_011669	CDX4	+	10985078	10992409
Homo sapiens	X	NT_011669	LOC139201	-	11063986	11062713
Homo sapiens	X	NT_011669	CHIC1	+	11101032	11222234
Homo sapiens	X	NT_011669	LOC389873	+	11307071	11308246
Homo sapiens	X	NT_011669	XIST	-	11390576	11358483
Homo sapiens	X	NT_011669	RPSAP14	+	11569284	11569662
Homo sapiens	X	NT_011669	LOC646056	+	11598364	11604121
Homo sapiens	X	NT_011669	LOC554203	+	11607042	11608654
Homo sapiens	X	NT_011669	LOC260337	+	11643398	11646482
Homo sapiens	X	NT_011669	MKRNP1	-	11700722	11696976
Homo sapiens	X	NT_011669	BMP2KL	+	11723743	11724978
Homo sapiens	X	NT_011669	LOC646080	+	11740609	11742479
Homo sapiens	X	NT_011669	ZCCHC13	+	11842013	11842854
Homo sapiens	X	NT_011669	LOC392497	-	11914708	11913948
Homo sapiens	X	NT_011669	LOC728748	-	11935546	11933792
Homo sapiens	X	NT_011669	LOC729553	-	11937373	11936696
Homo sapiens	X	NT_011669	LOC646108	+	11947341	11947923
Homo sapiens	X	NT_011669	SLC16A2	+	11959073	12071738
Homo sapiens	X	NT_011669	PABPCP3	-	12121370	12120407
Homo sapiens	X	NT_011669	RNF12	-	12152431	12128028
Homo sapiens	X	NT_011669	KIAA2022	-	12462972	12271400
Homo sapiens	X	NT_011669	ABCB7	-	12694120	12591093
Homo sapiens	X	NT_011669	RP11-311P8.3	+	12811949	12842422
Homo sapiens	X	NT_011669	LOC646127	-	12897278	12864585
Homo sapiens	X	NT_011669	ZDHHC15	-	13060863	12910049
Homo sapiens	X	NT_011669	LOC728782	+	12922127	12922697
Homo sapiens	X	NT_011669	BRAF2	+	13120455	13121228
Homo sapiens	X	NT_011669	LOC286495	-	13284821	13278654
Homo sapiens	X	NT_011669	MAGEE2	-	13323059	13320811
Homo sapiens	X	NT_011669	LOC641378	+	13567291	13569731
Homo sapiens	X	NT_011669	CXorf26	+	13710436	13715699
Homo sapiens	X	NT_011669	LDHBP	-	13873910	13872907
Homo sapiens	X	NT_011669	MAGEE1	+	13965784	13969411
Homo sapiens	X	NT_011669	LOC646193	-	14194164	14193817
